product_key_id,product_id,brand,product_line,product_class,product_size,list_price,standard_cost
49,35,Giant Bicycles,Standard,medium,medium,1403.5,954.82
50,0,Trek Bicycles,Standard,medium,medium,499.53,388.72
51,28,Norco Bicycles,Standard,medium,small,1216.14,1082.36
52,4,Giant Bicycles,Standard,high,medium,1129.13,677.48
53,38,Trek Bicycles,Standard,medium,large,2091.47,388.92
54,77,WeareA2B,Standard,medium,medium,1769.64,108.76
55,56,OHM Cycles,Standard,medium,medium,183.86,137.9
56,58,OHM Cycles,Standard,medium,medium,912.52,141.4
57,50,WeareA2B,Standard,medium,small,175.89,131.92
58,80,OHM Cycles,Touring,low,medium,1073.07,933.84
59,87,Giant Bicycles,Standard,high,medium,1179.0,707.4
60,15,Norco Bicycles,Standard,low,medium,958.74,748.9
61,84,Giant Bicycles,Road,medium,medium,792.9,594.68
62,21,Solex,Standard,medium,large,1071.23,380.74
63,0,OHM Cycles,Standard,medium,medium,235.63,125.07
64,84,Trek Bicycles,Road,medium,medium,290.62,215.14
65,31,WeareA2B,Standard,medium,medium,752.64,205.36
66,62,Solex,Standard,medium,medium,478.16,298.72
67,17,Solex,Standard,high,medium,1024.66,614.8
68,73,Solex,Standard,medium,medium,1945.43,333.18
69,45,Solex,Standard,medium,medium,441.49,84.99
70,49,Trek Bicycles,Road,medium,medium,533.51,400.13
71,95,Giant Bicycles,Standard,medium,large,569.56,528.43
72,0,Solex,Standard,medium,medium,478.16,298.72
73,18,Norco Bicycles,Standard,high,medium,1148.64,689.18
74,70,Trek Bicycles,Standard,high,medium,495.72,297.43
75,26,WeareA2B,Standard,medium,medium,1992.93,762.63
76,39,Giant Bicycles,Standard,medium,large,1812.75,582.48
77,36,Solex,Standard,low,medium,945.04,507.58
78,0,OHM Cycles,Standard,low,medium,71.16,56.93
79,98,Trek Bicycles,Standard,high,medium,358.39,215.03
80,75,Giant Bicycles,Touring,medium,large,1873.97,863.95
81,42,OHM Cycles,Road,medium,small,1810.0,1610.9
82,20,Trek Bicycles,Standard,medium,small,1775.81,1580.47
83,0,Trek Bicycles,Standard,high,medium,495.72,297.43
84,24,Solex,Road,medium,large,1777.8,820.78
85,98,OHM Cycles,Standard,medium,medium,795.34,101.58
86,22,Solex,Standard,medium,medium,575.27,431.45
87,53,OHM Cycles,Standard,medium,medium,795.34,101.58
88,96,WeareA2B,Road,low,small,1172.78,1043.77
89,93,WeareA2B,Standard,medium,medium,1065.03,230.09
90,65,WeareA2B,Standard,medium,medium,1807.45,778.69
91,0,,,,,1942.61,
92,29,WeareA2B,Standard,medium,medium,1065.03,230.09
93,32,Giant Bicycles,Standard,high,medium,1179.0,707.4
94,11,Giant Bicycles,Standard,high,medium,1274.93,764.96
95,10,Solex,Standard,medium,medium,1945.43,333.18
96,92,WeareA2B,Touring,medium,large,1890.39,260.14
97,7,Trek Bicycles,Road,low,medium,980.37,234.43
98,41,Solex,Road,medium,medium,416.98,312.74
99,67,Norco Bicycles,Road,medium,medium,544.05,376.84
100,14,Trek Bicycles,Standard,medium,small,1386.84,1234.29
101,9,OHM Cycles,Road,medium,medium,742.54,667.4
102,31,Giant Bicycles,Standard,medium,medium,230.91,173.18
103,56,Norco Bicycles,Mountain,low,small,688.63,612.88
104,6,Solex,Standard,high,medium,748.17,448.9
105,10,WeareA2B,Touring,medium,medium,1466.68,363.25
106,0,,,,,1656.86,
107,69,Giant Bicycles,Road,medium,medium,792.9,594.68
108,90,Norco Bicycles,Standard,low,medium,363.01,290.41
109,97,Solex,Standard,medium,large,202.62,151.96
110,100,Norco Bicycles,Road,medium,medium,1036.59,206.35
111,74,WeareA2B,Standard,medium,medium,1228.07,400.91
112,71,Solex,Standard,high,large,1842.92,1105.75
113,1,Giant Bicycles,Touring,medium,large,1873.97,863.95
114,34,Norco Bicycles,Road,high,large,774.53,464.72
115,0,Giant Bicycles,Standard,medium,medium,230.91,173.18
116,81,Norco Bicycles,Standard,medium,small,586.45,521.94
117,19,OHM Cycles,Road,high,large,12.01,7.21
118,74,WeareA2B,Standard,medium,medium,1762.96,950.52
119,57,WeareA2B,Touring,medium,large,1890.39,260.14
120,0,Trek Bicycles,Road,medium,medium,533.51,400.13
121,23,Norco Bicycles,Mountain,low,small,688.63,612.88
122,5,Giant Bicycles,Standard,high,medium,1129.13,677.48
123,51,OHM Cycles,Standard,high,medium,2005.66,1203.4
124,59,WeareA2B,Standard,medium,small,1415.01,1259.36
125,63,Solex,Standard,medium,medium,1483.2,99.59
126,40,OHM Cycles,Standard,high,medium,1458.17,874.9
127,80,Trek Bicycles,Standard,medium,large,1469.44,596.55
128,82,Norco Bicycles,Standard,high,medium,1148.64,689.18
129,40,Trek Bicycles,Road,medium,large,1894.19,598.76
130,2,Giant Bicycles,Road,low,small,590.26,525.33
131,8,Solex,Road,medium,small,1703.52,1516.13
132,13,Solex,Standard,medium,medium,1163.89,589.27
133,46,OHM Cycles,Standard,low,medium,1793.43,248.82
134,30,Solex,Standard,high,medium,748.17,448.9
135,7,Giant Bicycles,Standard,medium,small,1311.44,1167.18
136,63,WeareA2B,Standard,medium,medium,1992.93,762.63
137,48,WeareA2B,Standard,medium,medium,1762.96,950.52
138,13,Solex,Standard,medium,medium,1577.53,826.51
139,38,Solex,Standard,medium,medium,1577.53,826.51
140,68,OHM Cycles,Standard,medium,medium,1636.9,44.71
141,0,Trek Bicycles,Standard,high,medium,358.39,215.03
142,18,Solex,Standard,medium,medium,575.27,431.45
143,36,Solex,Standard,low,medium,1289.85,74.51
144,64,Giant Bicycles,Standard,high,small,1977.36,1759.85
145,0,OHM Cycles,Standard,high,medium,227.88,136.73
146,25,OHM Cycles,Standard,high,medium,2005.66,1203.4
147,87,OHM Cycles,Standard,medium,medium,1636.9,44.71
148,61,Norco Bicycles,Standard,medium,small,586.45,521.94
149,58,OHM Cycles,Road,medium,medium,1280.28,829.51
150,86,Norco Bicycles,Road,high,large,774.53,464.72
151,59,Solex,Standard,medium,large,1061.56,733.58
152,83,Solex,Touring,medium,large,2083.94,675.03
153,69,Norco Bicycles,Road,medium,large,1240.31,795.1
154,0,,,,,850.89,
155,17,WeareA2B,Touring,medium,large,1362.99,57.74
156,43,Solex,Standard,medium,medium,1151.96,649.49
157,0,Solex,Standard,medium,medium,71.49,53.62
158,0,,,,,710.59,
159,34,WeareA2B,Standard,medium,medium,1231.15,161.6
160,97,OHM Cycles,Road,medium,medium,742.54,667.4
161,9,Norco Bicycles,Standard,medium,small,1216.14,1082.36
162,28,Solex,Road,medium,small,1703.52,1516.13
163,4,Solex,Standard,medium,medium,1483.2,99.59
164,52,OHM Cycles,Road,medium,medium,1280.28,829.51
165,29,Norco Bicycles,Road,medium,medium,543.39,407.54
166,21,WeareA2B,Touring,medium,medium,1466.68,363.25
167,62,Solex,Standard,high,medium,1024.66,614.8
168,66,Giant Bicycles,Road,low,small,590.26,525.33
169,85,WeareA2B,Standard,medium,medium,752.64,205.36
170,99,OHM Cycles,Standard,medium,medium,1227.34,770.89
171,30,OHM Cycles,Standard,medium,medium,1227.34,770.89
172,45,Trek Bicycles,Road,low,medium,980.37,234.43
173,90,Solex,Standard,low,medium,945.04,507.58
174,54,WeareA2B,Standard,medium,medium,1807.45,778.69
175,76,WeareA2B,Road,low,small,1172.78,1043.77
176,0,Trek Bicycles,Road,medium,medium,290.62,215.14
177,0,Giant Bicycles,Standard,medium,large,569.56,528.43
178,52,Solex,Road,medium,large,1777.8,820.78
179,85,WeareA2B,Standard,medium,medium,1228.07,400.91
180,89,Giant Bicycles,Standard,medium,large,1812.75,582.48
181,0,Norco Bicycles,Road,medium,medium,543.39,407.54
182,0,WeareA2B,Standard,medium,medium,60.34,45.26
183,0,OHM Cycles,Standard,medium,medium,183.86,137.9
184,0,,,,,1972.01,
185,88,Norco Bicycles,Standard,high,small,1661.92,1479.11
186,0,Solex,Road,medium,medium,416.98,312.74
187,41,Norco Bicycles,Standard,low,medium,958.74,748.9
188,0,Solex,Standard,medium,medium,100.35,75.26
189,95,OHM Cycles,Touring,low,medium,1073.07,933.84
190,27,Trek Bicycles,Standard,low,medium,1057.51,154.4
191,53,Giant Bicycles,Standard,high,medium,1274.93,764.96
192,0,,,,,311.54,
193,0,Norco Bicycles,Standard,medium,medium,360.4,270.3
194,100,Trek Bicycles,Standard,medium,small,1386.84,1234.29
195,0,WeareA2B,Standard,medium,small,175.89,131.92
196,50,Giant Bicycles,Standard,medium,medium,642.7,211.37
197,11,Trek Bicycles,Standard,medium,small,1775.81,1580.47
198,0,,,,,205.84,
199,43,Norco Bicycles,Standard,medium,medium,1555.58,818.01
200,23,Norco Bicycles,Standard,medium,medium,1198.46,381.1
201,0,,,,,605.54,
202,72,OHM Cycles,Standard,medium,medium,912.52,141.4
203,49,Solex,Standard,medium,large,1061.56,733.58
204,0,,,,,756.31,
205,0,,,,,850.0,
206,33,OHM Cycles,Road,medium,small,1810.0,1610.9
207,0,,,,,571.27,
208,0,,,,,294.35,
209,0,Solex,Standard,medium,large,202.62,151.96
210,0,,,,,149.3,
211,0,,,,,447.25,
212,70,Norco Bicycles,Road,medium,medium,1036.59,206.35
213,0,Solex,Standard,medium,medium,441.49,84.99
214,0,,,,,1348.41,
215,0,,,,,1021.43,
216,0,,,,,1163.77,
217,0,,,,,1294.66,
218,0,,,,,638.29,
219,0,,,,,1202.34,
220,0,,,,,326.86,
221,0,,,,,814.86,
222,0,,,,,1102.68,
223,0,,,,,1880.4,
224,0,,,,,1541.62,
225,0,,,,,639.38,
226,0,,,,,402.14,
227,0,,,,,710.55,
228,0,,,,,1142.89,
229,0,,,,,813.6,
230,0,,,,,1833.17,
231,0,,,,,1285.47,
232,0,,,,,1678.71,
233,0,,,,,437.51,
234,0,,,,,366.22,
235,0,,,,,1199.26,
236,0,,,,,1888.45,
237,0,,,,,237.44,
238,0,,,,,317.3,
239,0,,,,,1527.25,
240,0,,,,,1563.94,
241,0,,,,,1146.42,
242,0,,,,,1192.33,
243,0,,,,,1672.07,
244,0,,,,,1099.68,
245,0,,,,,1281.6,
246,0,,,,,1220.66,
247,0,,,,,1061.92,
248,0,,,,,1502.93,
249,0,,,,,398.08,
250,0,,,,,101.55,
251,0,,,,,1957.87,
252,0,,,,,1095.66,
253,0,,,,,1776.08,
254,0,,,,,752.36,
255,0,,,,,172.09,
256,0,,,,,1740.16,
257,0,,,,,1734.3,
258,0,,,,,240.72,
259,0,,,,,1958.34,
260,0,,,,,330.36,
261,0,,,,,1709.26,
262,0,,,,,60.72,
263,0,,,,,1193.44,
264,0,,,,,2037.77,
265,0,,,,,1349.47,
266,0,,,,,56.21,
267,0,,,,,126.36,
268,0,,,,,1300.96,
269,0,,,,,1697.27,
270,0,,,,,26.15,
271,0,,,,,875.99,
272,0,,,,,1862.82,
273,0,,,,,2028.26,
274,0,,,,,678.25,
275,0,,,,,890.28,
276,0,,,,,1084.18,
277,0,,,,,1107.08,
278,0,,,,,1790.31,
279,0,,,,,724.37,
280,0,,,,,1095.65,
281,0,Solex,Road,medium,medium,416.98,312.7350159
282,0,,,,,1223.24,
283,0,,,,,541.44,
284,0,,,,,470.07,
285,0,,,,,2052.92,
286,0,,,,,1817.13,
287,0,,,,,1473.09,
288,0,,,,,1480.76,
289,0,,,,,2012.84,
290,0,,,,,1711.35,
291,0,,,,,753.76,
292,0,,,,,840.02,
293,0,,,,,1922.94,
294,0,,,,,1759.3,
295,0,,,,,330.91,
296,0,,,,,1029.36,
297,0,,,,,1487.8,
298,0,,,,,1624.69,
299,0,,,,,1719.95,
300,0,,,,,899.52,
301,0,,,,,554.38,
302,0,,,,,960.51,
303,0,,,,,1978.64,
304,0,,,,,36.78,
305,0,,,,,74.89,
306,0,,,,,1091.51,
307,0,,,,,695.23,
308,0,,,,,1148.41,
309,0,,,,,750.25,
310,0,,,,,1997.68,
311,0,,,,,1392.76,
312,0,,,,,1294.37,
313,0,,,,,311.57,
314,0,,,,,899.92,
315,0,,,,,162.87,
316,0,,,,,1678.51,
317,0,,,,,1703.18,
318,0,,,,,675.28,
319,0,,,,,487.8,
320,0,,,,,1292.13,
321,0,,,,,1578.52,
322,0,,,,,922.15,
323,0,,,,,122.74,
324,0,,,,,435.66,
325,0,,,,,1409.68,
326,0,,,,,1315.16,
327,0,,,,,1233.12,
328,0,,,,,758.73,
329,0,,,,,405.94,
330,0,,,,,1026.7,
331,0,,,,,687.9,
332,0,,,,,494.96,
333,0,,,,,1181.89,
334,0,,,,,465.71,
335,0,,,,,880.3,
336,0,,,,,1989.3,
337,0,,,,,1413.98,
338,0,,,,,483.12,
339,0,,,,,753.01,
340,0,,,,,883.91,
341,0,,,,,1216.4,
342,0,,,,,32.44,
343,0,,,,,16.08,
344,0,,,,,1184.0,
345,0,,,,,587.02,
346,0,,,,,1919.23,
347,0,,,,,1660.68,
348,0,,,,,1224.41,
349,0,,,,,1535.84,
350,0,,,,,150.51,
351,0,,,,,2062.95,
352,0,,,,,1689.63,
353,0,,,,,1934.41,
354,0,,,,,889.05,
355,0,,,,,1617.32,
356,0,,,,,1788.93,
357,0,,,,,2064.08,
358,0,,,,,2020.14,
359,0,,,,,489.58,
360,0,,,,,2076.81,
361,0,,,,,2061.38,
362,0,,,,,877.44,
363,0,Norco Bicycles,Standard,medium,medium,360.4,270.2999878
364,0,,,,,1374.2,
365,0,,,,,731.41,
366,0,,,,,1034.17,
367,0,,,,,156.56,
368,0,,,,,643.95,
369,0,,,,,517.53,
370,0,,,,,226.94,
371,0,,,,,1196.65,
372,0,OHM Cycles,Road,medium,medium,742.54,667.4000244
373,0,,,,,634.57,
374,0,,,,,1571.83,
375,0,,,,,1999.54,
376,0,,,,,1562.88,
377,0,,,,,1150.59,
378,0,,,,,356.05,
379,0,,,,,1780.22,
380,0,,,,,1438.9,
381,0,,,,,966.91,
382,0,,,,,918.43,
383,0,,,,,1541.1,
384,0,,,,,1476.88,
385,0,,,,,1023.39,
386,0,,,,,310.57,
387,0,,,,,356.39,
388,0,,,,,1695.42,
389,0,,,,,877.6,
390,0,,,,,1401.63,
391,0,,,,,2086.07,
392,0,,,,,1761.75,
393,0,,,,,1615.62,
394,0,,,,,744.54,
395,0,,,,,1098.18,
396,0,,,,,868.56,
397,0,,,,,1497.43,
398,0,,,,,867.92,
